name,hard_hitter,sr,rbw
MM Lanning,1.302325581395349,167.4418604651163,0.5517241379310345
Shafali Verma,1.4222222222222223,186.66666666666666,0.6451612903225806
ML Schutt,1.0526315789473684,157.89473684210526,0.7142857142857143
Preeti Bose,0.0,25.0,0.25
EA Perry,1.0526315789473684,163.1578947368421,0.7857142857142857
SFM Devine,1.0909090909090908,127.27272727272727,0.25
S Asha,0.0,66.66666666666666,0.6666666666666666
HC Knight,0.9523809523809523,161.9047619047619,0.8235294117647058
M Kapp,1.7647058823529411,229.41176470588235,0.8181818181818182
JI Rodrigues,0.8,146.66666666666666,0.8333333333333334
S Mandhana,1.1304347826086956,152.17391304347828,0.5294117647058824
DD Kasat,0.36363636363636365,81.81818181818183,0.5
RM Ghosh,0.0,50.0,0.5
KS Ahuja,0.0,0.0,0.0
