name,hard_hitter,sr,rbw
SIR Dunkley,2.2142857142857144,232.14285714285717,0.21428571428571427
EA Perry,0.8,128.0,0.6
H Deol,0.9333333333333333,148.88888888888889,0.7142857142857143
SR Patil,2.5,275.0,0.5
A Gardner,0.5333333333333333,126.66666666666666,0.8461538461538461
HC Knight,2.3636363636363638,272.7272727272727,0.8
D Hemalatha,2.0,228.57142857142856,0.5
A Sutherland,1.25,175.0,0.6666666666666666
S Verma,2.0,250.0,1.0
S Mandhana,0.8571428571428571,128.57142857142858,0.5454545454545454
SFM Devine,0.9777777777777777,146.66666666666666,0.6285714285714286
RM Ghosh,0.8,100.0,0.25
KS Ahuja,1.1428571428571428,142.85714285714286,0.4
