name,hard_hitter,sr,rbw
S Mandhana,0.26666666666666666,53.333333333333336,0.2857142857142857
SFM Devine,0.631578947368421,110.5263157894737,0.5625
M Kapp,0.5625,100.0,0.5
A Capsey,1.3333333333333333,158.33333333333331,0.375
EA Perry,0.8846153846153846,128.84615384615387,0.4883720930232558
JL Jonassen,1.4666666666666666,193.33333333333334,0.7
HC Knight,0.3333333333333333,91.66666666666666,0.6363636363636364
RM Ghosh,1.875,231.25,0.7
MM Lanning,0.2222222222222222,83.33333333333334,0.6470588235294118
JI Rodrigues,0.42857142857142855,114.28571428571428,0.8
