name,hard_hitter,sr,rbw
SIR Dunkley,0.0,66.66666666666666,0.6666666666666666
L Wolvaardt,0.6666666666666666,126.66666666666666,0.7105263157894737
M Kapp,0.7586206896551724,124.13793103448276,0.5833333333333334
H Deol,0.48484848484848486,93.93939393939394,0.5172413793103449
RP Yadav,0.0,33.33333333333333,0.3333333333333333
A Capsey,1.8181818181818181,200.0,0.2857142857142857
S Pandey,0.0,88.88888888888889,0.8888888888888888
JL Jonassen,0.0,40.0,0.4
Poonam Yadav,0.0,0.0,0.0
A Reddy,0.9411764705882353,147.05882352941177,0.6923076923076923
A Gardner,1.0909090909090908,154.54545454545453,0.625
D Hemalatha,0.0,33.33333333333333,0.3333333333333333
MM Lanning,0.8,120.0,0.5
Shafali Verma,0.8571428571428571,114.28571428571428,0.3333333333333333
JI Rodrigues,0.0,25.0,0.25
T Bhatia,0.0,25.0,0.25
