name,hard_hitter,sr,rbw
AJ Healy,0.0,33.33333333333333,0.3333333333333333
DP Vaidya,0.0,0.0,0.0
SFM Devine,2.3333333333333335,233.33333333333334,0.0
KP Navgire,0.5384615384615384,84.61538461538461,0.34782608695652173
TM McGrath,0.0,100.0,1.0
GM Harris,1.0,143.75,0.56
Simran Shaikh,0.0,22.22222222222222,0.2222222222222222
EA Perry,0.3076923076923077,76.92307692307693,0.5
DB Sharma,0.8421052631578947,115.78947368421053,0.4
SR Patil,1.3333333333333333,166.66666666666669,0.5
S Sehrawat,0.6666666666666666,100.0,0.4
S Ecclestone,0.8888888888888888,133.33333333333331,0.5714285714285714
K Anjali Sarvani,0.4444444444444444,88.88888888888889,0.5
RS Gayakwad,0.0,200.0,2.0
S Mandhana,0.0,0.0,0.0
HC Knight,0.9523809523809523,114.28571428571428,0.25
KS Ahuja,1.2666666666666666,153.33333333333334,0.38095238095238093
RM Ghosh,0.5625,96.875,0.4642857142857143
