name,hard_hitter,sr,rbw
S Mandhana,1.1764705882352942,135.29411764705884,0.25
SFM Devine,1.2727272727272727,145.45454545454547,0.25
HK Matthews,1.5263157894736843,202.6315789473684,0.7916666666666666
NR Sciver-Brunt,1.4482758620689655,189.6551724137931,0.6842105263157895
EA Perry,1.4285714285714286,185.71428571428572,0.6
RM Ghosh,0.6923076923076923,107.6923076923077,0.45454545454545453
KS Ahuja,1.3846153846153846,169.23076923076923,0.4444444444444444
SR Patil,1.0666666666666667,153.33333333333334,0.6363636363636364
ML Schutt,0.8571428571428571,142.85714285714286,0.7272727272727273
YH Bhatia,0.8421052631578947,121.05263157894737,0.4666666666666667
