name,team,price,balls_faced,weighted_avg_sr,weighted_avg_rbw,runs,30s,50s,ducks,6s,4s,3s,2s,1s
MM Lanning,DelhiCapitals,110,248,90.97560976,0.502777778,345,4,2,0,6,49,0,11,87
Shafali Verma,DelhiCapitals,200,136,160,0.347435897,252,1,2,1,13,32,0,5,36
NR Sciver-Brunt,MumbaiIndians,320,237,121.8894009,0.425,332,2,3,1,6,47,0,11,86
A Capsey,DelhiCapitals,75,102,71.98156682,0.297435897,159,3,0,1,10,17,0,2,27
IECM Wong,MumbaiIndians,30,46,81.60087719,0.51242236,61,1,0,2,3,4,0,2,23
P Vastrakar,MumbaiIndians,190,49,80.14619883,0.450416667,71,0,0,0,2,9,0,2,19
M Kapp,DelhiCapitals,150,146,100.7210626,0.394405594,177,4,0,0,6,18,0,4,61
JI Rodrigues,DelhiCapitals,220,98,86.47619048,0.566666667,126,2,0,0,0,15,1,6,51
AC Kerr,MumbaiIndians,100,112,67.40740741,0.37942029,149,2,0,0,1,20,0,7,49
HK Matthews,MumbaiIndians,40,215,84.70588235,0.41047619,271,3,1,1,10,33,0,6,65
JL Jonassen,DelhiCapitals,50,64,138.6666667,0.521428571,79,1,0,0,4,7,0,3,21
YH Bhatia,MumbaiIndians,150,191,83.31730769,0.225,214,4,0,0,2,35,0,4,50
H Kaur,MumbaiIndians,180,208,88.93939394,0.437757437,281,1,3,0,3,44,0,6,75
ML Schutt,RoyalChallengersBangalore,40,38,103.0075188,0.506493506,52,1,0,0,0,8,0,1,18
EA Perry,RoyalChallengersBangalore,170,205,69.8245614,0.398412698,253,2,2,0,7,28,0,4,91
SFM Devine,RoyalChallengersBangalore,50,154,167.5,0.505847953,266,1,2,1,13,32,0,5,50
HC Knight,RoyalChallengersBangalore,40,96,105.7142857,0.437433155,135,2,0,1,3,18,0,3,39
S Mandhana,RoyalChallengersBangalore,340,134,98.08184143,0.230882353,149,2,0,1,3,21,0,4,35
RM Ghosh,RoyalChallengersBangalore,190,102,131.5384615,0.3625,138,2,0,0,7,14,0,2,36
KS Ahuja,RoyalChallengersBangalore,35,74,76.82051282,0.40952381,98,1,0,1,2,14,0,4,22
TM McGrath,UPWarriorz,140,191,120.625,0.414478114,302,1,4,1,7,46,0,6,62
DB Sharma,UPWarriorz,260,108,69.76190476,0.466153846,90,0,0,0,0,11,0,2,42
S Ecclestone,UPWarriorz,180,58,91.90045249,0.58,70,0,0,2,2,6,0,5,24
AJ Healy,UPWarriorz,70,179,130.3629537,0.388095238,253,1,2,0,3,41,1,6,56
S Sehrawat,UPWarriorz,40,40,99.16666667,0.2675,34,0,0,0,0,6,0,0,10
KP Navgire,UPWarriorz,30,135,62.15116279,0.188095238,155,1,1,0,8,15,0,5,37
DP Vaidya,UPWarriorz,140,80,66.97580645,0.337362637,77,1,0,1,0,9,0,2,37
Simran Shaikh,UPWarriorz,10,48,53.91304348,0.292424242,29,0,0,2,0,2,0,1,19
S Meghana,GujaratGiants,30,81,79.05882353,0.222857143,81,1,0,1,0,14,0,2,21
L Wolvaardt,GujaratGiants,30,102,106.2857143,0.464685908,143,0,2,0,5,16,0,3,43
H Deol,GujaratGiants,40,161,148.75,0.477333333,202,2,1,1,2,29,0,6,62
A Gardner,GujaratGiants,320,144,103.2388664,0.4375,204,1,2,2,5,26,0,5,58
D Hemalatha,GujaratGiants,30,96,132.0779221,0.4125,151,0,1,0,8,15,0,3,37
S Verma,GujaratGiants,60,53,97.36842105,0.588888889,42,0,0,0,0,4,0,1,24
KJ Garth,GujaratGiants,50,48,67.2972973,0.403361345,44,1,0,0,0,4,0,3,22
S Rana,GujaratGiants,75,34,78.34586466,0.416666667,34,0,0,0,0,4,0,2,14
M Joshi,GujaratGiants,30,30,88.88888889,0.3875,18,0,0,0,0,2,0,1,8
SIR Dunkley,GujaratGiants,60,69,112.0979021,0.661111111,121,0,1,1,3,19,1,6,12
SR Patil,RoyalChallengersBangalore,10,41,105.6666667,0.341558442,62,0,0,0,1,10,0,2,12
A Sutherland,GujaratGiants,70,36,103.5,0.422222222,28,0,0,1,1,2,0,3,8
GM Harris,UPWarriorz,75,139,133.1894934,0.495833333,230,2,2,0,9,29,0,6,47
H Kaur,MumbaiIndians,50,24,112.5,0.361904762,24,0,0,2,0,2,0,2,12
