name,hard_hitter,sr,rbw
SIR Dunkley,1.2,160.0,0.5714285714285714
L Wolvaardt,1.1428571428571428,161.9047619047619,0.6451612903225806
SFM Devine,2.3333333333333335,275.0,0.7894736842105263
S Meghana,0.5,96.875,0.5357142857142857
EA Perry,1.0,158.33333333333331,0.7777777777777778
HC Knight,1.0666666666666667,146.66666666666666,0.5454545454545454
A Gardner,1.1538461538461537,157.69230769230768,0.5789473684210527
D Hemalatha,2.3333333333333335,266.66666666666663,0.6666666666666666
H Deol,2.0,240.0,0.6666666666666666
S Mandhana,0.7096774193548387,119.35483870967742,0.5769230769230769
